_date,total_views,unique_views
2024-12-04,25,8
2024-12-05,10,3
2024-12-06,2,1
2024-12-07,26,4
2024-12-08,8,2
2024-12-09,68,7
2024-12-10,28,4
2024-12-11,43,5
2024-12-12,14,6
2024-12-13,43,6
2024-12-14,3,1
2024-12-15,5,1
2024-12-16,47,5
2024-12-17,59,6
2024-12-18,8,1
2024-12-19,9,3
2024-12-20,49,5
2024-12-22,21,2
2024-12-23,5,2
2024-12-25,1,1
2024-12-26,10,3
2024-12-27,1,1
2024-12-28,12,1
2025-01-01,1,1
2025-01-02,48,4
2025-01-03,5,3
2025-01-04,1,1
2025-01-06,8,5
2025-01-07,15,3
2025-01-08,1,1
2025-01-10,31,3
2025-01-11,29,3
2025-01-12,40,4
2025-01-13,2,1
2025-01-14,3,2
2025-01-15,1,1
2025-01-16,31,4
2025-01-17,44,3
2025-01-18,15,2
2025-01-20,2,2
2025-01-21,47,4
2025-01-22,63,1
2025-01-23,15,3
2025-01-24,18,5
2025-01-25,59,2
2025-01-26,8,3
2025-01-27,16,5
2025-01-28,2,2
2025-01-29,1,1
2025-01-30,12,2
2025-01-31,23,6
2025-02-02,2,1
2025-02-03,28,4
2025-02-04,17,6
2025-02-05,32,4
2025-02-06,61,9
2025-11-04,6,4
2025-11-05,56,10
2025-11-06,27,3
2025-11-07,91,9
2025-11-08,5,3
2025-11-09,47,3
2025-11-10,134,14
2025-11-11,78,4
2025-11-12,68,7
2025-11-13,32,7
2025-11-14,32,10
2025-11-15,30,4
2025-11-16,26,2
2025-11-17,51,8
2025-11-18,94,16
2025-11-19,22,8
2025-11-20,27,7
2025-11-21,20,5
2025-11-22,3,1
2025-11-23,1,1
2025-11-24,21,8
2025-11-25,61,14
2025-11-26,10,5
2025-11-27,7,6
2025-11-28,14,6
2025-11-29,24,7
2025-11-30,13,7
2025-12-01,11,4
2025-12-02,27,5
2025-12-03,12,5
2025-12-04,211,9
2025-12-05,65,7
2025-12-06,12,5
2025-12-07,34,3
2025-12-08,150,10
2025-12-09,92,10
2025-12-10,20,6
2025-12-11,9,3
2025-12-12,60,3
2025-12-13,21,5
2025-12-14,29,1
2025-12-15,28,4
2025-12-16,159,8
2025-12-17,74,7
2025-12-18,33,7
2025-12-19,23,8
2025-12-20,2,2
2025-12-21,2,2
2025-12-22,9,6
2025-12-23,17,5
2025-12-24,12,4
2025-12-25,1,1
2025-12-26,1,1
2025-12-27,14,4
2025-12-28,46,2
2025-12-29,171,5
2025-12-30,26,4
2025-12-31,4,2
2026-01-01,6,3
2026-01-02,19,6
2026-01-08,116,10
2026-01-09,122,7
2026-01-10,133,5
2026-01-11,36,6
2026-01-12,199,8
2026-01-13,111,11
2026-01-14,92,39
2026-01-15,47,13
2026-01-16,186,10
2026-01-17,218,6
2026-01-18,57,6
2026-01-19,124,7
2026-01-20,122,8
2026-01-21,129,16
2026-01-22,62,7
2026-01-23,198,11
2026-01-24,18,2
2026-01-25,39,6
2026-01-26,137,7
